issue_type,location_type,duration_days,description,priority
drainage,residential,14,"Open drainage cover, dangerous for pedestrians",high
drainage,residential,17,"Drain clogged, water overflowing onto road. please fix soon",high
drainage,main_road,0,Drainage blocked with garbage and leaves,low
drainage,alley,2,Drainage blocked with garbage and leaves,low
garbage,highway,11,"Overflowing garbage bin, foul smell",high
pothole,residential,9,Multiple potholes across the lane. urgent,medium
drainage,main_road,1,Standing water near drain after rain. immediate attention needed,low
streetlight,main_road,1,"Streetlight not working at night, area dark",low
streetlight,alley,3,"Streetlight intermittent, safety concern",medium
drainage,residential,4,Drainage blocked with garbage and leaves. causing accidents,high
garbage,highway,6,"Garbage dumped near sidewalk, attracting animals. hazardous",high
pothole,main_road,3,"Large pothole on the road, car damage likely. urgent",medium
streetlight,highway,4,"Streetlight intermittent, safety concern",high
pothole,highway,9,"Large pothole on the road, car damage likely",high
streetlight,alley,0,"Flickering streetlight, sparks visible. urgent",high
pothole,residential,2,Multiple potholes across the lane. immediate attention needed,low
pothole,residential,8,"Large pothole on the road, car damage likely",medium
drainage,residential,15,Sewage backup overflowing onto street,high
garbage,residential,5,"Garbage dumped near sidewalk, attracting animals. needs quick fix",medium
garbage,residential,5,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",medium
garbage,main_road,0,"Overflowing garbage bin, foul smell. immediate attention needed",high
streetlight,main_road,4,Light out on the main road intersection,medium
garbage,highway,5,"Overflowing garbage bin, foul smell",high
streetlight,residential,1,Pole lamp broken and leaning. urgent,low
pothole,main_road,2,Deep pothole causing vibration to vehicles. needs quick fix,low
streetlight,highway,3,Pole lamp broken and leaning,high
garbage,alley,0,Pile of household waste blocking pedestrian path. not urgent,high
garbage,alley,2,"Garbage dumped near sidewalk, attracting animals. urgent",low
drainage,highway,1,Drainage blocked with garbage and leaves,low
garbage,main_road,2,Illegal dumping near drainage. low priority,low
drainage,alley,0,Drainage blocked with garbage and leaves. not urgent,low
pothole,residential,15,Small pothole near the curb. causing accidents,high
streetlight,highway,6,Light out on the main road intersection,high
streetlight,alley,7,"Flickering streetlight, sparks visible",high
pothole,highway,10,Deep pothole causing vibration to vehicles,high
garbage,main_road,4,"Overflowing garbage bin, foul smell",high
streetlight,residential,0,"Streetlight not working at night, area dark",low
garbage,alley,5,"Garbage dumped near sidewalk, attracting animals. needs quick fix",medium
garbage,highway,6,Pile of household waste blocking pedestrian path. needs quick fix,high
pothole,highway,9,"Pothole filled with water, hidden hazard",high
pothole,highway,3,Multiple potholes across the lane,medium
drainage,alley,0,Standing water near drain after rain. urgent,low
garbage,residential,2,Illegal dumping near drainage,low
streetlight,alley,3,"Streetlight not working at night, area dark. causing accidents low priority",high
streetlight,residential,7,"Streetlight not working at night, area dark. hazardous",high
garbage,highway,5,Scattered trash on street after collection missed,medium
garbage,main_road,3,Pile of household waste blocking pedestrian path,high
streetlight,highway,30,Light out on the main road intersection. immediate attention needed,high
garbage,alley,6,Illegal dumping near drainage. needs quick fix,medium
pothole,highway,1,Multiple potholes across the lane,low
garbage,main_road,0,Illegal dumping near drainage. hazardous low priority,high
garbage,alley,1,Illegal dumping near drainage,low
streetlight,alley,1,Pole lamp broken and leaning,low
drainage,main_road,1,Drainage blocked with garbage and leaves,low
streetlight,residential,1,"Streetlight intermittent, safety concern",low
streetlight,residential,2,"Flickering streetlight, sparks visible",high
drainage,residential,1,"Drain clogged, water overflowing onto road",high
garbage,residential,15,Pile of household waste blocking pedestrian path,high
pothole,alley,0,Deep pothole causing vibration to vehicles. urgent,low
drainage,residential,5,Standing water near drain after rain. urgent,high
streetlight,main_road,3,"Streetlight intermittent, safety concern. needs quick fix causing accidents",high
garbage,main_road,28,Illegal dumping near drainage,high
streetlight,highway,0,Light out on the main road intersection. low priority,high
pothole,highway,3,Small pothole near the curb. needs quick fix,medium
streetlight,main_road,24,"Flickering streetlight, sparks visible. hazardous",high
pothole,main_road,14,Deep pothole causing vibration to vehicles. urgent,high
garbage,residential,11,Illegal dumping near drainage. hazardous,high
streetlight,highway,2,Pole lamp broken and leaning,high
pothole,main_road,1,Small pothole near the curb,low
streetlight,alley,7,"Streetlight intermittent, safety concern. low priority",medium
drainage,main_road,18,Sewage backup overflowing onto street. hazardous,high
garbage,highway,5,Scattered trash on street after collection missed. causing accidents,high
streetlight,residential,5,Pole lamp broken and leaning. needs quick fix,medium
pothole,highway,2,Small pothole near the curb,low
drainage,highway,10,Standing water near drain after rain. immediate attention needed,high
streetlight,highway,1,"Streetlight intermittent, safety concern",high
garbage,alley,2,"Overflowing garbage bin, foul smell. causing accidents",high
pothole,highway,3,Deep pothole causing vibration to vehicles,medium
pothole,highway,4,Deep pothole causing vibration to vehicles,medium
garbage,highway,1,"Garbage dumped near sidewalk, attracting animals",low
garbage,highway,0,"Garbage dumped near sidewalk, attracting animals. low priority immediate attention needed",low
pothole,main_road,6,Small pothole near the curb,medium
drainage,residential,2,Drainage blocked with garbage and leaves. not urgent,low
pothole,alley,6,"Large pothole on the road, car damage likely",medium
pothole,highway,1,"Large pothole on the road, car damage likely. immediate attention needed",low
streetlight,highway,4,Pole lamp broken and leaning,high
garbage,highway,5,Pile of household waste blocking pedestrian path. causing accidents not urgent,high
streetlight,main_road,0,Pole lamp broken and leaning,low
streetlight,highway,2,"Streetlight intermittent, safety concern. urgent",high
pothole,alley,1,Multiple potholes across the lane. causing accidents,high
streetlight,main_road,0,Light out on the main road intersection,low
drainage,main_road,32,"Open drainage cover, dangerous for pedestrians. please fix soon",high
drainage,highway,2,Sewage backup overflowing onto street,high
streetlight,highway,11,Pole lamp broken and leaning. needs quick fix,high
streetlight,main_road,2,"Flickering streetlight, sparks visible. immediate attention needed",high
streetlight,alley,8,Light out on the main road intersection. please fix soon,medium
drainage,residential,9,Standing water near drain after rain,high
streetlight,main_road,6,"Flickering streetlight, sparks visible",high
streetlight,residential,4,"Flickering streetlight, sparks visible",high
garbage,alley,3,Pile of household waste blocking pedestrian path. please fix soon,high
pothole,main_road,3,Multiple potholes across the lane. please fix soon,medium
drainage,main_road,18,Standing water near drain after rain,high
pothole,highway,12,Multiple potholes across the lane,high
garbage,main_road,23,"Overflowing garbage bin, foul smell",high
garbage,main_road,0,Scattered trash on street after collection missed. please fix soon immediate attention needed,low
garbage,residential,9,Illegal dumping near drainage. causing accidents,high
drainage,main_road,19,Drainage blocked with garbage and leaves. hazardous,high
garbage,residential,1,"Overflowing garbage bin, foul smell. needs quick fix",high
streetlight,residential,0,"Flickering streetlight, sparks visible. causing accidents",high
streetlight,alley,9,Light out on the main road intersection,medium
pothole,residential,5,"Large pothole on the road, car damage likely",medium
streetlight,residential,12,"Streetlight intermittent, safety concern",high
garbage,residential,1,Illegal dumping near drainage,low
streetlight,alley,11,"Flickering streetlight, sparks visible",high
streetlight,alley,1,Light out on the main road intersection. hazardous,high
garbage,main_road,1,"Garbage dumped near sidewalk, attracting animals. please fix soon",low
drainage,main_road,1,Standing water near drain after rain,low
drainage,alley,11,Standing water near drain after rain,high
garbage,alley,7,"Garbage dumped near sidewalk, attracting animals",medium
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals. hazardous urgent",high
drainage,highway,3,"Open drainage cover, dangerous for pedestrians. hazardous",high
garbage,highway,14,Scattered trash on street after collection missed,high
garbage,alley,3,"Garbage dumped near sidewalk, attracting animals. not urgent",medium
drainage,residential,11,"Open drainage cover, dangerous for pedestrians",high
garbage,highway,4,"Garbage dumped near sidewalk, attracting animals. hazardous causing accidents",high
garbage,main_road,3,Illegal dumping near drainage. needs quick fix,high
pothole,highway,4,"Large pothole on the road, car damage likely. urgent",medium
garbage,alley,2,Scattered trash on street after collection missed,low
garbage,main_road,9,Pile of household waste blocking pedestrian path,high
pothole,alley,4,Deep pothole causing vibration to vehicles. causing accidents,high
pothole,residential,1,Multiple potholes across the lane,low
drainage,highway,16,"Drain clogged, water overflowing onto road. urgent",high
garbage,main_road,3,Scattered trash on street after collection missed. not urgent,high
streetlight,residential,5,"Streetlight intermittent, safety concern",medium
streetlight,alley,16,"Flickering streetlight, sparks visible",high
garbage,main_road,6,Scattered trash on street after collection missed,high
streetlight,residential,0,Light out on the main road intersection,low
pothole,main_road,19,"Pothole filled with water, hidden hazard",high
pothole,main_road,6,Multiple potholes across the lane,medium
pothole,main_road,2,"Pothole filled with water, hidden hazard. immediate attention needed",low
drainage,alley,1,Sewage backup overflowing onto street. causing accidents,high
streetlight,highway,11,"Streetlight intermittent, safety concern. not urgent",high
garbage,residential,6,Illegal dumping near drainage. hazardous,high
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals",medium
streetlight,main_road,15,"Streetlight not working at night, area dark",medium
drainage,main_road,10,"Drain clogged, water overflowing onto road. urgent",high
pothole,residential,1,"Pothole filled with water, hidden hazard. not urgent",low
drainage,highway,2,"Drain clogged, water overflowing onto road",high
streetlight,residential,1,Pole lamp broken and leaning. causing accidents,high
garbage,highway,9,Scattered trash on street after collection missed. immediate attention needed,medium
streetlight,residential,0,"Streetlight not working at night, area dark",low
streetlight,alley,5,Light out on the main road intersection,medium
streetlight,alley,10,Light out on the main road intersection,medium
garbage,highway,14,Scattered trash on street after collection missed. causing accidents,high
drainage,residential,2,Drainage blocked with garbage and leaves,low
pothole,residential,12,Deep pothole causing vibration to vehicles. not urgent,high
streetlight,highway,0,"Streetlight intermittent, safety concern",high
streetlight,main_road,13,"Streetlight intermittent, safety concern. causing accidents",high
drainage,main_road,0,"Open drainage cover, dangerous for pedestrians",low
drainage,main_road,3,Sewage backup overflowing onto street. immediate attention needed immediate attention needed,high
garbage,highway,11,Illegal dumping near drainage,high
streetlight,residential,1,Light out on the main road intersection,low
streetlight,alley,1,"Flickering streetlight, sparks visible",high
streetlight,alley,8,"Flickering streetlight, sparks visible. not urgent",high
garbage,highway,8,Illegal dumping near drainage. hazardous,high
pothole,alley,7,Small pothole near the curb. causing accidents,high
garbage,highway,8,Scattered trash on street after collection missed. please fix soon,medium
streetlight,main_road,5,Pole lamp broken and leaning,medium
streetlight,main_road,2,Light out on the main road intersection,low
streetlight,residential,2,Light out on the main road intersection. hazardous,high
drainage,highway,1,Standing water near drain after rain,low
garbage,main_road,16,"Garbage dumped near sidewalk, attracting animals",high
garbage,highway,6,"Garbage dumped near sidewalk, attracting animals. low priority",medium
garbage,residential,3,Scattered trash on street after collection missed,medium
garbage,highway,4,"Garbage dumped near sidewalk, attracting animals. please fix soon",medium
pothole,alley,20,Small pothole near the curb. low priority,high
streetlight,residential,1,"Streetlight not working at night, area dark",low
drainage,main_road,6,Standing water near drain after rain. needs quick fix,high
garbage,highway,4,Pile of household waste blocking pedestrian path,high
drainage,main_road,6,Standing water near drain after rain,high
garbage,highway,0,"Overflowing garbage bin, foul smell. causing accidents",high
streetlight,residential,14,"Streetlight intermittent, safety concern",high
garbage,residential,18,Illegal dumping near drainage,high
drainage,main_road,5,"Drain clogged, water overflowing onto road. causing accidents",high
pothole,main_road,8,Deep pothole causing vibration to vehicles. immediate attention needed needs quick fix,high
pothole,highway,17,"Pothole filled with water, hidden hazard",high
pothole,residential,8,Multiple potholes across the lane. not urgent,medium
drainage,residential,1,Drainage blocked with garbage and leaves. hazardous,high
pothole,highway,6,Small pothole near the curb,medium
garbage,alley,6,Illegal dumping near drainage,medium
drainage,main_road,3,Sewage backup overflowing onto street,high
garbage,residential,9,Scattered trash on street after collection missed,medium
pothole,alley,19,Small pothole near the curb. please fix soon,high
pothole,highway,18,Multiple potholes across the lane,high
streetlight,residential,4,Light out on the main road intersection,medium
garbage,alley,0,Scattered trash on street after collection missed. not urgent,low
drainage,highway,29,Sewage backup overflowing onto street. not urgent,high
garbage,alley,12,"Garbage dumped near sidewalk, attracting animals. not urgent",high
drainage,residential,0,"Drain clogged, water overflowing onto road",high
streetlight,residential,17,"Streetlight intermittent, safety concern",medium
pothole,main_road,14,Deep pothole causing vibration to vehicles. needs quick fix,high
streetlight,alley,5,"Flickering streetlight, sparks visible. hazardous urgent",high
drainage,highway,6,Standing water near drain after rain. needs quick fix,high
drainage,highway,3,"Open drainage cover, dangerous for pedestrians. causing accidents",high
streetlight,alley,0,Pole lamp broken and leaning,low
streetlight,highway,2,"Flickering streetlight, sparks visible. not urgent needs quick fix",high
drainage,main_road,11,Standing water near drain after rain,high
pothole,main_road,0,"Pothole filled with water, hidden hazard",low
pothole,main_road,2,"Pothole filled with water, hidden hazard. causing accidents",high
garbage,alley,3,Scattered trash on street after collection missed,medium
pothole,highway,5,Small pothole near the curb,medium
streetlight,highway,17,"Flickering streetlight, sparks visible",high
garbage,residential,2,"Overflowing garbage bin, foul smell. please fix soon",high
garbage,main_road,2,"Overflowing garbage bin, foul smell",high
garbage,main_road,9,Scattered trash on street after collection missed,high
garbage,highway,4,Illegal dumping near drainage. urgent hazardous,high
pothole,main_road,1,"Pothole filled with water, hidden hazard. low priority",low
garbage,main_road,4,"Overflowing garbage bin, foul smell",high
drainage,residential,1,"Drain clogged, water overflowing onto road",high
streetlight,alley,1,"Flickering streetlight, sparks visible",high
streetlight,alley,4,Pole lamp broken and leaning,medium
drainage,highway,3,Sewage backup overflowing onto street. please fix soon,high
streetlight,alley,17,"Streetlight not working at night, area dark",medium
drainage,highway,3,Sewage backup overflowing onto street,high
drainage,residential,6,"Drain clogged, water overflowing onto road",high
garbage,main_road,7,Illegal dumping near drainage,high
drainage,residential,0,Standing water near drain after rain,low
pothole,highway,7,"Large pothole on the road, car damage likely. urgent",medium
drainage,highway,1,Drainage blocked with garbage and leaves. urgent,low
garbage,alley,22,Illegal dumping near drainage,high
pothole,residential,1,Deep pothole causing vibration to vehicles. causing accidents,high
garbage,highway,3,Pile of household waste blocking pedestrian path. not urgent,high
streetlight,highway,0,"Streetlight intermittent, safety concern. urgent",high
streetlight,highway,40,"Flickering streetlight, sparks visible. causing accidents",high
garbage,main_road,4,"Garbage dumped near sidewalk, attracting animals",high
drainage,alley,6,"Drain clogged, water overflowing onto road",high
garbage,alley,0,"Overflowing garbage bin, foul smell. hazardous",high
streetlight,main_road,9,"Streetlight intermittent, safety concern",medium
streetlight,residential,1,"Streetlight intermittent, safety concern",low
streetlight,alley,15,Light out on the main road intersection,medium
drainage,main_road,1,Drainage blocked with garbage and leaves,low
streetlight,residential,1,Light out on the main road intersection,low
pothole,residential,0,Multiple potholes across the lane. hazardous,high
streetlight,highway,4,Pole lamp broken and leaning,high
streetlight,highway,5,Pole lamp broken and leaning,high
drainage,highway,0,"Drain clogged, water overflowing onto road",high
streetlight,residential,10,"Streetlight intermittent, safety concern. please fix soon",medium
pothole,alley,4,Multiple potholes across the lane,medium
streetlight,alley,5,"Flickering streetlight, sparks visible",high
pothole,residential,4,"Large pothole on the road, car damage likely",medium
pothole,highway,3,Small pothole near the curb. not urgent,medium
pothole,main_road,5,Multiple potholes across the lane,medium
garbage,highway,1,Scattered trash on street after collection missed,low
drainage,residential,1,Sewage backup overflowing onto street,high
garbage,alley,13,Illegal dumping near drainage. not urgent,high
streetlight,alley,20,"Flickering streetlight, sparks visible. immediate attention needed",high
pothole,alley,3,Small pothole near the curb. not urgent,medium
drainage,main_road,2,Drainage blocked with garbage and leaves,low
drainage,main_road,7,"Open drainage cover, dangerous for pedestrians. not urgent",high
pothole,highway,3,"Pothole filled with water, hidden hazard",medium
streetlight,residential,0,"Streetlight intermittent, safety concern",low
drainage,residential,1,Sewage backup overflowing onto street,high
drainage,alley,8,"Drain clogged, water overflowing onto road",high
streetlight,main_road,7,"Streetlight not working at night, area dark. urgent",medium
drainage,residential,0,"Drain clogged, water overflowing onto road. immediate attention needed",high
garbage,highway,1,Scattered trash on street after collection missed. causing accidents,high
streetlight,alley,1,"Streetlight intermittent, safety concern. urgent",low
garbage,highway,7,Scattered trash on street after collection missed. please fix soon,medium
streetlight,highway,0,Light out on the main road intersection. not urgent,high
streetlight,residential,0,"Streetlight not working at night, area dark. not urgent",low
garbage,highway,11,Scattered trash on street after collection missed,high
pothole,main_road,1,Deep pothole causing vibration to vehicles,low
pothole,highway,7,Deep pothole causing vibration to vehicles,medium
garbage,alley,1,"Garbage dumped near sidewalk, attracting animals. low priority",low
streetlight,main_road,0,"Streetlight intermittent, safety concern. urgent",low
garbage,highway,1,Illegal dumping near drainage,low
streetlight,alley,8,"Flickering streetlight, sparks visible. not urgent",high
drainage,alley,13,"Open drainage cover, dangerous for pedestrians",high
streetlight,residential,12,Light out on the main road intersection,high
drainage,main_road,3,"Open drainage cover, dangerous for pedestrians. hazardous",high
drainage,main_road,7,Standing water near drain after rain. immediate attention needed,high
drainage,highway,1,Standing water near drain after rain,low
garbage,residential,2,Pile of household waste blocking pedestrian path,high
streetlight,main_road,15,"Flickering streetlight, sparks visible. hazardous please fix soon",high
drainage,main_road,0,"Open drainage cover, dangerous for pedestrians",low
garbage,main_road,0,Illegal dumping near drainage,low
streetlight,main_road,1,Light out on the main road intersection. causing accidents,high
drainage,highway,0,Drainage blocked with garbage and leaves. please fix soon,low
garbage,main_road,1,"Garbage dumped near sidewalk, attracting animals. needs quick fix",low
garbage,residential,6,Pile of household waste blocking pedestrian path,high
pothole,alley,3,Small pothole near the curb. urgent,medium
garbage,alley,15,"Overflowing garbage bin, foul smell",high
garbage,highway,11,Illegal dumping near drainage. urgent,high
garbage,alley,2,Scattered trash on street after collection missed,low
drainage,alley,2,Standing water near drain after rain. hazardous,high
garbage,alley,3,"Overflowing garbage bin, foul smell. hazardous",high
garbage,alley,6,Scattered trash on street after collection missed,medium
drainage,alley,2,"Drain clogged, water overflowing onto road. hazardous",high
pothole,highway,6,"Large pothole on the road, car damage likely",medium
pothole,alley,3,Multiple potholes across the lane,medium
garbage,highway,5,"Garbage dumped near sidewalk, attracting animals",medium
drainage,main_road,4,"Open drainage cover, dangerous for pedestrians. urgent",high
streetlight,alley,2,Pole lamp broken and leaning. hazardous,high
drainage,highway,20,Sewage backup overflowing onto street. needs quick fix,high
garbage,highway,10,Illegal dumping near drainage,medium
garbage,alley,1,Pile of household waste blocking pedestrian path,high
pothole,main_road,14,Multiple potholes across the lane. causing accidents hazardous,high
pothole,residential,4,"Large pothole on the road, car damage likely. urgent",medium
streetlight,residential,15,"Streetlight not working at night, area dark. not urgent",medium
drainage,residential,11,Sewage backup overflowing onto street,high
drainage,alley,3,Sewage backup overflowing onto street. urgent please fix soon,high
streetlight,residential,0,Light out on the main road intersection,low
pothole,residential,2,"Pothole filled with water, hidden hazard. please fix soon",low
garbage,main_road,5,"Garbage dumped near sidewalk, attracting animals. immediate attention needed",high
garbage,residential,7,Pile of household waste blocking pedestrian path,high
streetlight,main_road,2,"Streetlight intermittent, safety concern",low
garbage,alley,1,"Garbage dumped near sidewalk, attracting animals",low
streetlight,main_road,12,"Streetlight not working at night, area dark. needs quick fix",high
pothole,main_road,29,Multiple potholes across the lane,high
streetlight,residential,5,"Streetlight intermittent, safety concern",medium
drainage,residential,1,Standing water near drain after rain,low
streetlight,highway,2,"Streetlight not working at night, area dark",high
pothole,main_road,0,Deep pothole causing vibration to vehicles. low priority,low
garbage,alley,17,"Overflowing garbage bin, foul smell",high
garbage,residential,0,Pile of household waste blocking pedestrian path,high
pothole,residential,6,Multiple potholes across the lane,medium
pothole,main_road,2,Multiple potholes across the lane,low
streetlight,highway,5,"Flickering streetlight, sparks visible. urgent",high
garbage,main_road,7,Illegal dumping near drainage,high
pothole,residential,12,Small pothole near the curb,high
pothole,alley,1,Deep pothole causing vibration to vehicles. please fix soon,low
streetlight,main_road,0,"Streetlight not working at night, area dark. urgent",low
pothole,alley,1,Multiple potholes across the lane. needs quick fix,low
drainage,main_road,16,Standing water near drain after rain,high
streetlight,residential,14,"Flickering streetlight, sparks visible. hazardous",high
drainage,highway,6,Drainage blocked with garbage and leaves. immediate attention needed urgent,high
pothole,residential,6,"Pothole filled with water, hidden hazard. please fix soon",medium
pothole,residential,7,Deep pothole causing vibration to vehicles. causing accidents,high
streetlight,alley,1,"Streetlight not working at night, area dark. hazardous",high
pothole,highway,17,Deep pothole causing vibration to vehicles,high
streetlight,main_road,3,Pole lamp broken and leaning,medium
streetlight,residential,3,"Streetlight intermittent, safety concern. needs quick fix",medium
pothole,highway,5,"Pothole filled with water, hidden hazard. not urgent",medium
garbage,residential,0,Scattered trash on street after collection missed. causing accidents,high
pothole,alley,1,Multiple potholes across the lane. needs quick fix please fix soon,low
garbage,alley,9,"Garbage dumped near sidewalk, attracting animals. please fix soon",medium
streetlight,alley,0,"Flickering streetlight, sparks visible",high
streetlight,alley,6,Light out on the main road intersection. needs quick fix needs quick fix,medium
garbage,main_road,1,Scattered trash on street after collection missed,low
drainage,highway,3,Drainage blocked with garbage and leaves,medium
streetlight,highway,2,Pole lamp broken and leaning,high
garbage,main_road,3,Illegal dumping near drainage. hazardous,high
garbage,highway,8,Scattered trash on street after collection missed. not urgent,medium
garbage,residential,2,Illegal dumping near drainage,low
pothole,alley,5,"Large pothole on the road, car damage likely",medium
pothole,alley,4,Deep pothole causing vibration to vehicles. not urgent immediate attention needed,medium
garbage,residential,7,Pile of household waste blocking pedestrian path. causing accidents,high
drainage,highway,19,"Open drainage cover, dangerous for pedestrians",high
streetlight,alley,9,"Streetlight intermittent, safety concern",medium
streetlight,residential,1,"Streetlight intermittent, safety concern",low
garbage,residential,0,"Overflowing garbage bin, foul smell",high
garbage,main_road,2,Scattered trash on street after collection missed. urgent low priority,low
pothole,residential,6,"Large pothole on the road, car damage likely. not urgent",medium
garbage,alley,0,Pile of household waste blocking pedestrian path,high
drainage,alley,4,"Open drainage cover, dangerous for pedestrians. not urgent",high
streetlight,alley,6,"Flickering streetlight, sparks visible. hazardous immediate attention needed",high
pothole,main_road,2,"Pothole filled with water, hidden hazard",low
drainage,highway,10,"Open drainage cover, dangerous for pedestrians",high
garbage,alley,0,Illegal dumping near drainage. not urgent,low
garbage,alley,0,Scattered trash on street after collection missed. not urgent,low
garbage,main_road,9,Illegal dumping near drainage. low priority urgent,high
garbage,residential,4,"Overflowing garbage bin, foul smell",high
pothole,main_road,8,Multiple potholes across the lane,high
streetlight,alley,3,"Streetlight intermittent, safety concern. immediate attention needed",medium
pothole,residential,1,Multiple potholes across the lane. low priority,low
pothole,alley,11,"Pothole filled with water, hidden hazard",high
streetlight,alley,11,Pole lamp broken and leaning,high
streetlight,main_road,8,"Streetlight not working at night, area dark",medium
streetlight,residential,2,"Streetlight not working at night, area dark",low
pothole,residential,6,Multiple potholes across the lane. needs quick fix immediate attention needed,medium
streetlight,residential,3,"Flickering streetlight, sparks visible",high
streetlight,highway,0,"Streetlight not working at night, area dark",high
drainage,alley,17,Standing water near drain after rain,high
drainage,alley,1,"Open drainage cover, dangerous for pedestrians",low
streetlight,highway,21,"Flickering streetlight, sparks visible",high
garbage,alley,4,Pile of household waste blocking pedestrian path. needs quick fix,high
drainage,main_road,1,Sewage backup overflowing onto street,high
streetlight,highway,5,"Streetlight not working at night, area dark. not urgent",high
garbage,main_road,14,Pile of household waste blocking pedestrian path,high
streetlight,main_road,9,"Streetlight intermittent, safety concern. needs quick fix",medium
garbage,residential,11,Illegal dumping near drainage. low priority,high
garbage,residential,7,Scattered trash on street after collection missed. immediate attention needed,medium
garbage,alley,8,"Garbage dumped near sidewalk, attracting animals",medium
drainage,residential,13,"Open drainage cover, dangerous for pedestrians. urgent",high
pothole,highway,2,"Pothole filled with water, hidden hazard. immediate attention needed",low
streetlight,main_road,4,Pole lamp broken and leaning. urgent immediate attention needed,medium
pothole,main_road,1,Multiple potholes across the lane,low
pothole,highway,30,Multiple potholes across the lane. hazardous,high
drainage,residential,20,Standing water near drain after rain,high
garbage,residential,0,Pile of household waste blocking pedestrian path,high
streetlight,residential,8,"Flickering streetlight, sparks visible",high
pothole,alley,18,"Pothole filled with water, hidden hazard. urgent",high
streetlight,main_road,1,Light out on the main road intersection. causing accidents,high
drainage,alley,5,"Drain clogged, water overflowing onto road. not urgent",high
pothole,alley,17,Small pothole near the curb. immediate attention needed please fix soon,high
garbage,highway,0,Pile of household waste blocking pedestrian path. urgent,high
garbage,residential,8,"Garbage dumped near sidewalk, attracting animals",medium
pothole,alley,2,"Pothole filled with water, hidden hazard",low
pothole,main_road,18,"Large pothole on the road, car damage likely. needs quick fix low priority",high
streetlight,residential,24,Light out on the main road intersection. immediate attention needed,medium
streetlight,highway,20,Light out on the main road intersection,high
drainage,main_road,4,Sewage backup overflowing onto street. not urgent,high
streetlight,alley,13,"Streetlight not working at night, area dark",high
pothole,alley,13,Deep pothole causing vibration to vehicles. causing accidents causing accidents,high
garbage,alley,2,"Overflowing garbage bin, foul smell",high
garbage,alley,12,"Overflowing garbage bin, foul smell. urgent",high
pothole,alley,0,"Large pothole on the road, car damage likely. needs quick fix",low
drainage,main_road,6,"Drain clogged, water overflowing onto road. hazardous",high
pothole,alley,1,Multiple potholes across the lane. hazardous urgent,high
streetlight,highway,0,Light out on the main road intersection,high
pothole,highway,0,"Large pothole on the road, car damage likely",low
drainage,highway,8,"Open drainage cover, dangerous for pedestrians",high
garbage,residential,2,"Overflowing garbage bin, foul smell",high
drainage,residential,9,"Open drainage cover, dangerous for pedestrians",high
streetlight,highway,0,"Streetlight not working at night, area dark. not urgent",high
streetlight,main_road,2,Light out on the main road intersection. urgent not urgent,low
drainage,highway,5,Drainage blocked with garbage and leaves. urgent,high
pothole,residential,10,"Pothole filled with water, hidden hazard",medium
garbage,main_road,2,"Garbage dumped near sidewalk, attracting animals. please fix soon",low
garbage,main_road,6,"Garbage dumped near sidewalk, attracting animals. hazardous",high
garbage,highway,15,Scattered trash on street after collection missed. urgent,high
drainage,highway,6,Sewage backup overflowing onto street,high
drainage,alley,1,"Open drainage cover, dangerous for pedestrians. causing accidents hazardous",high
garbage,alley,0,"Garbage dumped near sidewalk, attracting animals. urgent low priority",low
streetlight,main_road,14,Light out on the main road intersection. needs quick fix urgent,high
drainage,main_road,0,"Drain clogged, water overflowing onto road. causing accidents",high
garbage,residential,14,Pile of household waste blocking pedestrian path. low priority,high
pothole,residential,5,Deep pothole causing vibration to vehicles. not urgent,medium
garbage,main_road,19,"Overflowing garbage bin, foul smell",high
garbage,main_road,11,"Garbage dumped near sidewalk, attracting animals",high
garbage,residential,43,"Garbage dumped near sidewalk, attracting animals",high
streetlight,residential,3,"Flickering streetlight, sparks visible. urgent",high
pothole,residential,10,Deep pothole causing vibration to vehicles. needs quick fix,medium
drainage,residential,3,"Open drainage cover, dangerous for pedestrians",medium
drainage,main_road,4,"Drain clogged, water overflowing onto road",high
drainage,alley,6,Drainage blocked with garbage and leaves. not urgent,high
drainage,main_road,14,Standing water near drain after rain,high
drainage,highway,28,Drainage blocked with garbage and leaves. needs quick fix,high
pothole,alley,10,Multiple potholes across the lane. immediate attention needed,medium
drainage,highway,3,Sewage backup overflowing onto street,high
garbage,main_road,3,"Garbage dumped near sidewalk, attracting animals. causing accidents",high
pothole,highway,9,"Pothole filled with water, hidden hazard",high
garbage,highway,1,Pile of household waste blocking pedestrian path. not urgent,high
drainage,residential,0,Drainage blocked with garbage and leaves. immediate attention needed,low
garbage,residential,3,Illegal dumping near drainage. not urgent,medium
drainage,highway,2,Sewage backup overflowing onto street,high
pothole,residential,2,"Large pothole on the road, car damage likely. low priority",low
pothole,residential,1,Small pothole near the curb. immediate attention needed,low
drainage,main_road,0,Standing water near drain after rain. immediate attention needed,low
drainage,main_road,0,Standing water near drain after rain. please fix soon,low
garbage,residential,30,"Overflowing garbage bin, foul smell. low priority",high
pothole,alley,3,Multiple potholes across the lane,medium
streetlight,alley,3,"Streetlight intermittent, safety concern. immediate attention needed",medium
garbage,highway,7,"Overflowing garbage bin, foul smell. hazardous",high
pothole,highway,1,Deep pothole causing vibration to vehicles. hazardous,high
drainage,highway,20,Standing water near drain after rain,high
